iter	Passed	Remaining
824	35519	93641
825	35559	93591
826	35605	93555
827	35643	93499
828	35683	93449
829	35724	93399
830	35762	93344
831	35809	93311
832	35850	93262
833	35892	93218
834	35950	93211
835	35999	93185
836	36046	93152
837	36094	93121
838	36147	93105
839	36192	93067
840	36238	93029
841	36287	93003
842	36325	92946
843	36372	92913
844	36416	92873
845	36460	92831
846	36507	92800
847	36554	92764
848	36596	92719
849	36643	92685
850	36683	92635
851	36729	92598
852	36766	92542
853	36809	92496
854	36848	92444
855	36893	92406
856	36936	92361
857	36985	92334
858	37033	92304
859	37077	92263
860	37122	92223
861	37168	92187
862	37212	92148
863	37253	92100
864	37294	92051
865	37339	92012
866	37379	91961
867	37422	91917
868	37477	91903
869	37529	91881
870	37579	91856
871	37625	91820
872	37671	91784
873	37715	91742
874	37756	91695
875	37797	91647
876	37843	91610
877	37888	91571
878	37937	91541
879	37985	91510
880	38026	91461
881	38071	91423
882	38120	91393
883	38158	91339
884	38199	91290
885	38243	91249
886	38291	91218
887	38340	91188
888	38381	91138
889	38425	91099
890	38471	91061
891	38510	91007
892	38553	90965
893	38608	90949
894	38654	90913
895	38711	90903
896	38766	90886
897	38812	90849
898	38859	90816
899	38904	90776
900	38947	90732
901	38994	90699
902	39041	90664
903	39080	90611
904	39120	90560
905	39160	90509
906	39203	90466
907	39248	90426
908	39290	90381
909	39330	90330
910	39374	90289
911	39422	90256
912	39470	90225
913	39512	90178
914	39561	90147
915	39604	90103
916	39643	90052
917	39687	90010
918	39727	89959
919	39765	89905
920	39811	89867
921	39855	89827
922	39893	89770
923	39934	89723
924	39971	89666
925	40010	89614
926	40052	89567
927	40095	89523
928	40137	89478
929	40179	89430
930	40222	89388
931	40260	89334
932	40300	89282
933	40343	89239
934	40384	89191
935	40427	89147
936	40476	89117
937	40524	89083
938	40563	89032
939	40614	89006
940	40661	88972
941	40701	88921
942	40751	88893
943	40794	88848
944	40838	88806
945	40876	88753
946	40916	88703
947	40953	88645
948	40993	88595
949	41031	88541
950	41069	88486
951	41111	88441
952	41148	88386
953	41188	88335
954	41233	88296
